Mercado;Combo ENTREGA;CLIENTE;MONTADOR;CÓD;MÁQUINA ;Ordem de entrega dos equipamentos;OP;Situação;FALTAS;ENTREGA BRALYX SBC;CÓDIGO PAINEL;OP;Fornecedor;Situação;Data Acionamento Bralyx SP;Faltas de itens para Painéis;ENTREGA BRALYX SBC;Prazo de entrega ( Painel Montado );ENTREGA BRALYX SBC ( PAINÉIS );Observações;Data da Solicitação ;Prazo (Comercial);Aceite PCP;Data final acordada - P.A;Data Entrega;Dias de Atraso;Faturada?
ME;;BRETTECNICA EQUIPAMENTOS;;MFX003CM220;MAXIFORM TUBO 3.0 CE;;34025;Montagem ;;;;;;;;;;;;COM ESTEIRA - TRANSFORMAR A QUE ESTÁ EM PRODUÇÃO.;26-mar;10-abr;;;;;
MI;;ITA BOLOS LTDA ;;MFX168NM220; MAXIFORM BIG 10.0 MK MAQUINA MODELADORA RECHEADORA DE DOCES E SALGADOS NR12                ;;32907;Separada;15451, KF421-01, KF463-01;;DB3736;ESTOQUE;;Finalizada ;;;;;;;17-mar;11-abr;;;;;
MI;;ALESSANDRA BARROS SILVA -ME ;; MFX149NM220 ; MAXIFORM PICCOLINA NR12 ;;33193;A separar;;;;;;;;;;;;;30-mar;15-abr;;;;;
MI;SIM;WORK MAQDIAS;Nelson ;MFX016NM220;DISPOSITIVO DE BOLINHA ;;32535;Montagem ;DA3195 (Painel);-;DA3195;OP 32387 - 1/1;;Separada;;DA3195;;;;DA9047 OP:34004 e DA9048 OP: 28480;20-mar;15-abr;;;;;
ME;;ESTOQUE;;EPX067CM220;EMPANAMIX DE MESA CE;;32563;Montagem ;;100% ENTREGUE - MARÇO;DB1574;ESTOQUE;;Finalizada ;;;;;;;24-mar;17-abr;;;;;
MI;;EMPORIUM DO PAO ;;EPX163NM220;BANDEJA GIRATÓRIA Ø1000;;32951;Separada;;;DB5110;OP 32412 - 1/1;;Separada;;;;;;;18-mar;17-abr;;;;;
ME;;WE EQUIPOS PEDIDO;;MFX098CM220;MAXIFORM LUNA - CE;;Conv. MFX098U01917 ;Aguardando ;;;CM425;ESTOQUE;;Finalizada ;;;;;;26/03 - CAIXA DE MASSA CUBA UNICA (COM ENGENHARIA DESENVOLVENDO) - INCLUIR DB0909 ESTEIRA;24-mar;17-abr;;;;;
ME;SIM;WE EQUIPOS REPOSIÇÃO;;MFX098CM220;MAXIFORM LUNA - CE ;;33362;A separar;;100% ENTREGUE - MARÇO;CM425;ESTOQUE;;Finalizada ;;;;;;;24-mar;17-abr;;;;;
ME;;ESTOQUE;;MFX098CM220;MAXIFORM LUNA - CE;;S/COBERTURA;;;;;;;;;;;;;;26-mar;17-abr;;;;;
MI;;ZA E LI COMERCIO;;MFX168NM220; MAXIFORM BIG 10.0 MK MAQUINA MODELADORA RECHEADORA DE DOCES E SALGADOS NR12                ;;32520;Separada;;100% ENTREGUE - MAR;DB3736;ESTOQUE;;Finalizada ;;;;;;;16-mar;20-abr;;;;;
MI;;PAO DE QUEIJO SAO JORGE LTDA ME ;;EPX162NM220 ;BANDEIJA GIRATORIA 0700 MOTOR AC NR12 ;;32575;Finalizada;;;;;;;;;;;;;30-mar;20-abr;;17-mar;;;
MI;;ESTOQUE (DEFININDO PEDIDO);;MFX178NM220;BIG 10 TECH;;32784;Separada;;;;;;;;;;;;;26-mar;23-abr;;;;;
ME;;ESTOQUE;Alvimar;MFX166CM220;BIG 6.0 MKR CE;;32518;Finalizada;;;DB3740;ESTOQUE;;Finalizada ;;;;;;;24-mar;24-abr;;6-abr;;;
MI;;ESTOQUE;;EPX162NM220;BANDEJA GIRATÓRIA Ø700;;32576;Separada;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;ESTOQUE;;EPX162NM220;BANDEJA GIRATÓRIA Ø700;;32577;Separada;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;ESTOQUE;;MFX168NM220; MAXIFORM BIG 10.0 MK;;;Aguardando ;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;REPOSIÇÃO SHOW ROOM;;DTX124NM220;NEW DROP TOP EXPRESS ;;33101;Montagem ;KF618-03;;;OP 33099 - 1/1;;Separada;;DB1225;;;;;18-mar;24-abr;;;;;
ME;;ESTOQUE;;MFX167CM220;BIG 8.0 MKR CE;;31955;Separada;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;ESTOQUE;;MFX016NM220;DISPOSITIVO DE BOLINHA ;;32912;Montagem ;;;;;;;;;;;;DA9051 - ARO 30 / DA9052 - ARO 35;26-mar;24-abr;;;;;
ME;;ESTOQUE;;MFX186CM220;DISPOSITIVO DE TEQUEÑOS;;32911;A separar;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;ESTOQUE;;DSX059NM220;DOSALYX;;32583;Separada;;;;;;;;;;;;DA5200 + DA5334 + DA5402 /  DA4532 / DA6258;26-mar;24-abr;;;;;
MI;;ESTOQUE;;DSX059NM220;DOSALYX;;32955;Aguardando ;;;;;;;;;;;;(DA5203 + DA5204), DA4532 , DA9398, DA6258, DA4955, DA5200, DA5334, DA5402,  2x DA3569, 2x DA3570, 2x DA3571.;26-mar;24-abr;;;;;
MI;;ESTOQUE;;MFX145NM220;MAXIFORM NEW DULY NR12 ;;32506;Montagem ;;;;;;;;;;;;;26-mar;24-abr;;;;;
ME;;ESTOQUE;;EPX110CM220;EMPANAMIX INDUSTRIAL PLUS 2020 CE;;32570;Aguardando ;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;ESTOQUE;;EPX110NM220;EMPANAMIX INDUSTRIAL PLUS 2020 ;;32568;Separada;;;;;;;;;;;;;26-mar;24-abr;;;;;
ME;;ESTOQUE;;EPX067CM220;EMPANAMIX DE MESA CE;;32939;Aguardando ;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;ESTOQUE;;FTX118NT220 ;FRITADEIRA ELETRICA CONT FRYE ;;32616;Separada;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;ESTOQUE;;FTX097IM220; FRITADEIRA BR FRY INMETRO ;;32609;Finalizada;;;;;;;;;;;;;26-mar;24-abr;;2-abr;;;
MI;;ESTOQUE;;FTX097IM220; FRITADEIRA BR FRY INMETRO ;;32610;Montagem ;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;ESTOQUE;;FTX097IM220; FRITADEIRA BR FRY INMETRO ;;32611;Montagem ;;;;;;;;;;;;;26-mar;24-abr;;;;;
ME;;ESTOQUE;;HTX108CM220;HOT 14L INOX ELÉTRICA [CE];;27775;Separada;;;;;;;;;;;;;26-mar;24-abr;;;;;
