Chave,C2_PRODUTO,C2_XDESCP,C2_QUANT,C2_DATPRI,C2_DATPRF,D4_COD,D4_QTDEORI,Soma de D4_QUANT,D4_XQFALFI,D4_XQTRANS
,,,,,,DA1204          ,1,2,1,0
,,,,,,DA1207          ,3,3,3,0
,,,,,,DA1211          ,1,1,1,0
,,,,,,DA1213          ,1,5,1,0
,,,,,,DA1215          ,1,1,1,0
,,,,,,DA1218          ,1,1,1,0
,,,,,,DA1218          ,2,2,2,0
,,,,,,DA1218          ,10,10,10,0
,,,,,,DA1218          ,17,17,17,0
,,,,,,DA1219          ,1,1,1,0
,,,,,,DA1219          ,2,4,2,0
,,,,,,DA1219          ,10,10,10,0
,,,,,,DA1219          ,17,17,17,0
,,,,,,DA1222          ,1,1,1,0
,,,,,,DA1224          ,1,2,1,0
,,,,,,DA1226         ,2,2,2,0
,,,,,,DA1242          ,1,2,1,0
,,,,,,DA1256          ,1,1,1,0
